# Pallasjärvi snow survey
# Units: mm
# Date generated: 2020-11-18
# Generated by: Pertti Ala-aho
# Data interval: 2018-02-22_2020-06-04
date;SWE;SWE_sd;quality
2018-02-22;234.833635261453;19.0322267964019;partial
2018-04-02;264.483978362616;30.8132154563282;partial
2018-04-18;279.053492168984;36.6412406910416;partial
2018-11-15;1.49581713432232;NA;partial
2018-12-12;47.3252105490486;7.63780365112117;full
2019-01-24;93.1431673848236;14.123228165568;full
2019-02-05;117.000721803366;13.3759684669163;partial
2019-02-22;138.48472995992;20.2959627357477;full
2019-03-05;137.886398313042;20.2645408626245;full
2019-04-04;153.851392971322;51.1012331221082;full
2019-04-25;124.721946401505;74.7112918807456;full
2019-04-30;90.1420660023883;42.5954293519749;partial
2019-05-03;67.6770272509221;42.5304505056868;partial
2019-05-15;24.9008180778032;27.0775136750226;full
2019-11-07;56.9114055607656;9.60369030076045;full
2019-11-28;84.9883793021122;11.7633094650954;full
2019-12-13;104.996711780276;13.7301892376953;full
2020-01-02;162.458802731861;24.1447732261339;full
2020-01-16;190.566631470995;22.429453935275;full
2020-01-30;202.770942358359;25.1626620421858;full
2020-02-13;247.800333601474;23.2272238501468;full
2020-02-27;268.000647150861;29.2181290384762;full
2020-03-12;296.011751976967;30.3817618577742;full
2020-04-01;300.966672444356;35.0283170707765;full
2020-04-16;325.32772609101;39.6638784440644;full
2020-04-26;309.875153088789;45.081331203238;partial
2020-05-01;289.333767994997;59.3941246855176;full
2020-05-03;303.009174821814;62.4298605304771;full
2020-05-06;298.053777269061;52.6086829273716;full
2020-05-08;307.29120297907;61.5835006928323;full
2020-05-10;291.208128196392;54.5651692674653;full
2020-05-13;297.786765369906;55.0695395100658;full
2020-05-15;297.677164656815;59.9335088076299;full
2020-05-17;291.346346461985;59.2972123524941;full
2020-05-20;287.710052530095;63.1087324113106;full
2020-05-22;260.436220341142;66.565844555393;full
2020-05-24;221.058467705582;78.7556927817112;full
2020-05-27;143.720965493877;76.4529843826465;full
2020-05-29;110.412292134818;80.0359832387582;full
2020-05-31;67.6016245909303;60.4697751602718;full
2020-06-02;22.7139025900215;36.2916909214067;full
2020-06-04;2.58498023715415;9.40414436877905;full
