time;s3;s5;s18
2018-06-03;0.28;0.37000000000000016;0.31616438356164367
2018-06-04;0.2335616438356163;0.37000000000000016;0.22905405405405432
2018-06-05;0.18479452054794507;0.37000000000000016;0.13000000000000006
2018-06-06;0.1899999999999999;0.37000000000000016;0.13000000000000006
2018-06-07;0.1899999999999999;0.37000000000000016;0.13000000000000006
2018-06-08;0.1899999999999999;0.37000000000000016;0.13000000000000006
2018-06-09;0.1899999999999999;0.37000000000000016;0.13000000000000006
2018-06-10;0.1899999999999999;0.37000000000000016;0.13000000000000006
2018-06-11;0.1899999999999999;0.37000000000000016;0.13000000000000006
2018-06-12;0.1899999999999999;0.37000000000000016;0.13000000000000003
2018-06-13;0.1895890410958903;0.37000000000000016;0.13000000000000006
2018-06-14;0.1899999999999999;0.37000000000000016;0.13000000000000006
2018-06-15;0.1899999999999999;0.37000000000000016;0.13000000000000006
2018-06-16;0.1899999999999999;0.37000000000000016;0.13000000000000006
2018-06-17;0.18971830985915483;0.37000000000000016;0.13000000000000006
2018-06-18;0.18985915492957736;0.37000000000000016;0.13000000000000006
2018-06-19;0.19845070422535185;0.37000000000000016;0.13000000000000006
2018-06-20;0.21685714285714305;0.37000000000000016;0.13000000000000003
2018-06-21;0.23714285714285738;0.37000000000000016;0.13194444444444445
2018-06-22;0.2457746478873241;0.37000000000000016;0.13863013698630133
2018-06-23;0.2939436619718307;0.3794520547945203;0.16444444444444448
2018-06-24;0.26042253521126746;0.3797260273972601;0.15750000000000014
2018-06-25;0.24671428571428566;0.376388888888889;0.15000000000000022
2018-06-26;0.23605633802816928;0.37315068493150705;0.15000000000000022
2018-06-27;0.22845070422535244;0.3708333333333336;0.15000000000000022
2018-06-28;0.22239436619718347;0.37000000000000016;0.15000000000000022
2018-06-29;0.2198571428571431;0.37000000000000016;0.14753424657534264
2018-06-30;0.21380281690140884;0.37000000000000016;0.14236111111111113
2018-07-01;0.21000000000000038;0.37000000000000016;0.1402777777777778
2018-07-02;0.20887323943661992;0.37000000000000016;0.14
2018-07-03;0.20057142857142832;0.37000000000000016;0.14000000000000004
2018-07-04;0.2200000000000003;0.3700000000000001;0.14044776119402985
2018-07-05;0.2192424242424245;0.3700000000000001;0.1401470588235294
2018-07-06;0.2114285714285718;0.3783333333333333;0.14
2018-07-07;0.21000000000000038;0.37819444444444433;0.14
2018-07-08;0.21000000000000038;0.37749999999999995;0.14
2018-07-09;0.21000000000000035;0.3758333333333333;0.14
2018-07-10;0.20529411764705863;0.37486111111111137;0.14
2018-07-11;0.19942028985507224;0.3711111111111112;0.14
2018-07-12;0.19714285714285698;0.370277777777778;0.14
2018-07-13;0.19028985507246368;0.37000000000000016;0.14
2018-07-14;0.18985507246376804;0.370277777777778;0.14
2018-07-15;0.18517241379310337;0.37;0.13982758620689645
2018-07-16;0.1805797101449274;0.37000000000000016;0.1393055555555556
2018-07-17;0.17685714285714277;0.3716666666666667;0.13914285714285718
2018-07-18;0.16913043478260867;0.3709722222222224;0.13971830985915495
2018-07-19;0.1656521739130435;0.3701408450704227;0.13845070422535213
2018-07-20;0.16411764705882356;0.37000000000000016;0.13436619718309867
2018-07-21;0.1600000000000001;0.3700000000000001;0.13557142857142854
2018-07-22;0.16347826086956527;0.3701388888888891;0.14
2018-07-23;0.16647058823529412;0.37000000000000016;0.13914285714285718
2018-07-24;0.1600000000000001;0.3700000000000001;0.13314285714285717
2018-07-25;0.15956521739130444;0.37000000000000016;0.13014084507042256
2018-07-26;0.15884057971014504;0.37000000000000016;0.13000000000000003
2018-07-27;0.15271428571428594;0.37000000000000016;0.13000000000000003
2018-07-28;0.14728571428571452;0.37000000000000016;0.13000000000000003
2018-07-29;0.14043478260869566;0.37000000000000016;0.1298591549295775
2018-07-30;0.14;0.37000000000000016;0.13000000000000003
2018-07-31;0.1401449275362319;0.37000000000000016;0.13000000000000003
2018-08-01;0.13911764705882354;0.3698611111111113;0.13000000000000003
2018-08-02;0.13123076923076923;0.3688235294117647;0.13
2018-08-03;0.1379999999999999;0.3707142857142854;0.14071428571428563
2018-08-04;0.17710144927536214;0.37999999999999984;0.15901408450704238
2018-08-05;0.176086956521739;0.3799999999999998;0.15000000000000022
2018-08-06;0.1737142857142856;0.3798591549295773;0.15000000000000022
2018-08-07;0.17169014084507034;0.37225352112676063;0.14985915492957766
2018-08-08;0.17199999999999993;0.3707042253521128;0.14366197183098592
2018-08-09;0.1755714285714284;0.3707042253521127;0.1426760563380282
2018-08-10;0.17971014492753606;0.37000000000000016;0.1414084507042254
2018-08-11;0.19314285714285695;0.37323943661971826;0.1488732394366199
2018-08-12;0.20928571428571446;0.37507246376811554;0.1547887323943663
2018-08-13;0.2509999999999998;0.3799999999999998;0.16541666666666668
2018-08-14;0.24086956521739142;0.37999999999999984;0.1600000000000001
2018-08-15;0.23140845070422564;0.37999999999999984;0.15971830985915503
2018-08-16;0.23500000000000018;0.3799999999999998;0.1525000000000002
2018-08-17;0.23957142857142877;0.3799999999999998;0.1504225352112678
2018-08-18;0.23000000000000032;0.37916666666666643;0.15014084507042275
2018-08-19;0.26671428571428546;0.3797183098591547;0.1622222222222222
2018-08-20;0.25757142857142845;0.3799999999999998;0.1600000000000001
2018-08-21;0.2501408450704225;0.3799999999999998;0.15366197183098615
2018-08-22;0.246111111111111;0.3799999999999998;0.15000000000000022
2018-08-23;0.24557142857142858;0.3799999999999998;0.15000000000000022
2018-08-24;0.24521126760563394;0.37999999999999984;0.15000000000000022
2018-08-25;0.2942857142857144;0.3799999999999998;0.15777777777777788
2018-08-26;0.2688732394366199;0.3799999999999998;0.1543661971830988
2018-08-27;0.28514285714285714;0.37999999999999984;0.15791666666666676
2018-08-28;0.26791666666666664;0.37999999999999984;0.15736111111111126
2018-08-29;0.26000000000000006;0.3799999999999998;0.15000000000000022
2018-08-30;0.2532857142857142;0.3799999999999998;0.15000000000000022
2018-08-31;0.24802816901408445;0.3799999999999998;0.15000000000000022
2018-09-01;0.24027777777777784;0.3798611111111109;0.15000000000000022
2018-09-02;0.24000000000000007;0.37263888888888913;0.15000000000000022
2018-09-03;0.2400000000000001;0.37125000000000014;0.1495833333333335
2018-09-04;0.23985915492957752;0.37071428571428583;0.14541666666666678
2018-09-05;0.23611111111111135;0.37000000000000016;0.1423611111111112
2018-09-06;0.2323943661971834;0.37000000000000016;0.1406944444444445
2018-09-07;0.23000000000000032;0.37000000000000016;0.14
2018-09-08;0.23000000000000032;0.37000000000000016;0.14000000000000004
2018-09-09;0.22859154929577497;0.37000000000000016;0.14
2018-09-10;0.22380281690140882;0.37000000000000016;0.14
2018-09-11;0.2285915492957749;0.37000000000000016;0.14
2018-09-12;0.2725352112676055;0.37000000000000016;0.14666666666666686
2018-09-13;0.2869014084507038;0.37000000000000016;0.15000000000000022
2018-09-14;0.2780281690140843;0.3701388888888891;0.15000000000000022
2018-09-15;0.27422535211267585;0.37000000000000016;0.15000000000000022
2018-09-16;0.3026760563380285;0.3713888888888889;0.15000000000000022
2018-09-17;0.2833333333333331;0.3752777777777779;0.15000000000000022
2018-09-18;0.26863013698630134;0.37666666666666665;0.15000000000000022
2018-09-19;0.26319444444444445;0.37458333333333343;0.15000000000000022
2018-09-20;0.2968055555555558;0.37624999999999975;0.15123287671232896
2018-09-21;0.2809859154929574;0.37915492957746466;0.15084507042253542
2018-09-22;0.30194444444444435;0.3789041095890408;0.15602739726027406
2018-09-23;0.29819444444444426;0.3799999999999998;0.1600000000000001
2018-09-24;0.2883333333333333;0.3799999999999998;0.15986301369863024
2018-09-25;0.27068493150684897;0.3799999999999998;0.15712328767123304
2018-09-26;0.28616438356164353;0.37000000000000016;0.1565753424657535
2018-09-27;0.300958904109589;0.37833333333333324;0.16999999999999996
2018-09-28;0.274189189189189;0.3745205479452057;0.16246575342465763
2018-09-29;0.26094594594594606;0.3705555555555558;0.1562162162162164
2018-09-30;0.26904109589041086;0.37013698630137;0.15040540540540562
2018-10-01;0.2795890410958904;0.37000000000000016;0.15315068493150702
2018-10-02;0.26594594594594606;0.37027397260273986;0.15027027027027048
2018-10-03;0.2600000000000001;0.37013698630137004;0.15000000000000022
2018-10-04;0.25351351351351337;0.37000000000000016;0.15000000000000022
2018-10-05;0.24000000000000002;0.37000000000000016;0.15000000000000022
2018-10-06;0.24000000000000002;0.37000000000000016;0.15000000000000022
2018-10-07;0.23337837837837871;0.37000000000000016;0.15000000000000022
2018-10-08;0.23000000000000026;0.37000000000000016;0.15000000000000022
2018-10-09;0.23851351351351355;0.37000000000000016;0.15000000000000022
2018-10-10;0.2397297297297298;0.37000000000000016;0.15000000000000022
2018-10-11;0.23013333333333363;0.37000000000000016;0.15000000000000022
2018-10-12;0.23945945945945968;0.37000000000000016;0.15000000000000022
2018-10-13;0.3265753424657533;0.37000000000000016;0.1532432432432434
2018-10-14;0.3306849315068493;0.37041095890410974;0.1600000000000001
2018-10-15;0.31301369863013684;0.37000000000000016;0.1600000000000001
2018-10-16;0.2880821917808219;0.37000000000000016;0.15729729729729744
2018-10-17;0.27445945945945943;0.37000000000000016;0.15040540540540562
2018-10-18;0.2779452054794518;0.37000000000000016;0.15000000000000022
2018-10-19;0.2656756756756758;0.37000000000000016;0.15000000000000022
2018-10-20;0.2600000000000001;0.37000000000000016;0.15000000000000022
2018-10-21;0.2600000000000001;0.37000000000000016;0.15000000000000022
2018-10-22;0.25824324324324316;0.37000000000000016;0.15000000000000022
2018-10-23;0.24129032258064534;0.37000000000000016;0.15000000000000022
2018-10-24;0.17383333333333342;0.37000000000000016;0.15000000000000022
2018-10-25;0.11567567567567569;0.37000000000000016;0.15000000000000022
2018-10-26;0.12540540540540548;0.37000000000000016;0.15000000000000022
2018-10-27;0.11093333333333331;0.37000000000000016;0.15000000000000022
2018-10-28;0.06662162162162155;0.37000000000000016;0.14418918918918924
2018-10-29;0.04933333333333328;0.37000000000000016;0.14000000000000004
2018-10-30;0.042898550724637684;0.3700000000000001;0.14
2018-10-31;0.04933333333333327;0.37000000000000016;0.14000000000000004
2018-11-01;0.059054054054054055;0.3700000000000001;0.14000000000000004
2018-11-02;0.06;0.37000000000000016;0.14000000000000004
2018-11-03;0.060000000000000005;0.37000000000000016;0.14000000000000004
2018-11-04;0.06;0.37000000000000016;0.14000000000000004
2018-11-05;0.06689189189189189;0.37000000000000016;0.14000000000000004
2018-11-06;0.07279999999999999;0.3700000000000001;0.14000000000000004
2018-11-07;0.08000000000000004;0.37000000000000016;0.14000000000000004
2018-11-08;0.08933333333333324;0.37000000000000016;0.14000000000000004
2018-11-09;0.10689189189189202;0.37000000000000016;0.14000000000000004
2018-11-10;0.12493333333333344;0.37000000000000016;0.14000000000000004
2018-11-11;0.13716216216216218;0.37000000000000016;0.14000000000000004
2018-11-12;0.15746666666666667;0.37000000000000016;0.14293333333333336
2018-11-13;0.24270270270270267;0.37000000000000016;0.15702702702702712
2018-11-14;0.24013513513513512;0.37000000000000016;0.1600000000000001
2018-11-15;0.24;0.37000000000000016;0.15853333333333347
2018-11-16;0.24270270270270272;0.37000000000000016;0.1567567567567569
2018-11-17;0.24;0.37000000000000016;0.15813333333333346
2018-11-18;0.23067567567567596;0.37000000000000016;0.1528000000000002
2018-11-19;0.09689189189189197;0.37000000000000016;0.15000000000000022
2018-11-20;0.06608108108108099;0.37000000000000016;0.15000000000000022
2018-11-21;0.05986301369863015;0.37000000000000016;0.14973333333333355
2018-11-22;0.05533333333333332;0.37000000000000016;0.14840000000000014
2018-11-23;0.049999999999999926;0.37000000000000016;0.14240000000000005
2018-11-24;0.049999999999999926;0.37000000000000016;0.14000000000000004
2018-11-25;0.049999999999999926;0.37000000000000016;0.14000000000000004
2018-11-26;0.049999999999999926;0.37000000000000016;0.14000000000000004
2018-11-27;0.049999999999999926;0.37000000000000016;0.14000000000000004
2018-11-28;0.049999999999999926;0.36135135135135105;0.14000000000000004
2018-11-29;0.049999999999999926;0.35999999999999965;0.14
2018-11-30;0.054933333333333334;0.35999999999999965;
2018-12-01;0.060000000000000005;0.35999999999999965;
2018-12-02;0.06013513513513514;0.35999999999999965;
2018-12-03;0.06;0.35999999999999965;
2018-12-04;0.060000000000000005;0.35999999999999965;
2018-12-05;0.06;0.35999999999999965;
2018-12-06;0.060000000000000005;0.35999999999999965;
2018-12-07;0.060000000000000005;0.35999999999999965;
2018-12-08;0.060000000000000005;0.35999999999999965;
2018-12-09;0.06;0.35999999999999965;
2018-12-10;0.06000000000000001;0.35999999999999965;
2018-12-11;0.06013333333333333;0.35999999999999965;
2018-12-12;0.060000000000000005;0.35999999999999965;
2018-12-13;0.06;0.35999999999999965;
2018-12-14;0.060000000000000005;0.35999999999999965;
2018-12-15;0.06;0.35999999999999965;
2018-12-16;0.060000000000000005;0.35999999999999965;
2018-12-17;0.060000000000000005;0.35999999999999965;
2018-12-18;0.060000000000000005;0.35999999999999965;
2018-12-19;0.06;0.35999999999999965;
2018-12-20;0.060000000000000005;0.35999999999999965;
2018-12-21;0.06;0.35999999999999965;
2018-12-22;0.060000000000000005;0.35999999999999965;
2018-12-23;0.06;0.35999999999999965;
2018-12-24;0.06;0.35999999999999965;
2018-12-25;0.060000000000000005;0.35999999999999965;
2018-12-26;0.06;0.35999999999999965;
2018-12-27;0.060000000000000005;0.35999999999999965;
2018-12-28;0.06;0.35999999999999965;
2018-12-29;0.060000000000000005;0.35999999999999965;
2018-12-30;0.060000000000000046;0.3599999999999997;
2018-12-31;0.06;0.35999999999999965;
2019-01-01;0.060000000000000005;0.35999999999999965;
2019-01-02;0.06;0.35999999999999965;
2019-01-03;0.060000000000000005;0.35999999999999965;
2019-01-04;0.06;0.35999999999999965;
2019-01-05;0.060000000000000005;0.35999999999999965;
2019-01-06;0.06;0.35999999999999965;
2019-01-07;0.06148648648648648;0.35999999999999965;
2019-01-08;0.06146666666666665;0.35999999999999965;
2019-01-09;0.0604054054054054;0.35999999999999965;
2019-01-10;0.06;0.35999999999999965;
2019-01-11;0.060000000000000005;0.35999999999999965;
2019-01-12;0.06027027027027027;0.35999999999999965;
2019-01-13;0.06013513513513514;0.35999999999999965;
2019-01-14;0.06000000000000003;0.3599999999999997;
2019-01-15;0.060000000000000005;0.35999999999999965;
2019-01-16;0.06;0.35999999999999965;
2019-01-17;0.060000000000000046;0.3599999999999997;
2019-01-18;0.06;0.35999999999999965;
2019-01-19;0.060000000000000046;0.3599999999999998;
2019-01-20;0.060000000000000046;0.3599999999999997;0.14000000000000007
2019-01-21;0.06;0.35999999999999965;0.14000000000000004
2019-01-22;0.060000000000000005;0.35999999999999965;0.14000000000000004
2019-01-23;0.060000000000000046;0.3599999999999997;0.13999999999999993
2019-01-24;0.06000000000000002;0.35999999999999965;0.14000000000000004
2019-01-25;0.060000000000000046;0.35999999999999976;0.1399999999999999
2019-01-26;0.060000000000000046;0.35999999999999976;0.1399999999999999
2019-01-27;0.06000000000000001;0.35999999999999965;0.14000000000000004
2019-01-28;0.06;0.35999999999999965;0.14000000000000004
2019-01-29;0.06;0.35999999999999965;0.14000000000000004
2019-01-30;0.06;0.35999999999999965;0.14000000000000004
2019-01-31;0.06000000000000001;0.35999999999999965;0.1401333333333334
2019-02-01;0.06;0.35999999999999965;0.1415789473684211
2019-02-02;0.06000000000000001;0.35999999999999965;0.1468000000000001
2019-02-03;0.06;0.3598648648648645;0.14986666666666687
2019-02-04;0.06;0.35986666666666633;0.15000000000000022
2019-02-05;0.060000000000000005;0.35864864864864837;0.15000000000000022
2019-02-06;0.06;0.35777777777777764;0.15000000000000022
2019-02-07;0.060000000000000005;0.3558666666666666;0.15000000000000022
2019-02-08;0.06;0.35405405405405427;0.15000000000000022
2019-02-09;0.060000000000000005;0.3521333333333337;0.15000000000000022
2019-02-10;0.060000000000000005;0.3505405405405409;0.15256756756756773
2019-02-11;0.06;0.35026666666666706;0.15855263157894747
2019-02-12;0.060000000000000005;0.35027027027027063;0.1600000000000001
2019-02-13;0.06;0.35026666666666706;0.1600000000000001
2019-02-14;0.060000000000000005;0.35013333333333374;0.1600000000000001
2019-02-15;0.06026666666666666;0.3500000000000004;0.1600000000000001
2019-02-16;0.06151515151515152;0.3500000000000003;0.1600000000000001
2019-02-17;0.06506666666666663;0.3500000000000004;0.1600000000000001
2019-02-18;0.06824324324324323;0.3500000000000004;0.1600000000000001
2019-02-19;0.0666666666666666;0.3500000000000004;0.1600000000000001
2019-02-20;0.060000000000000005;0.3500000000000004;0.1600000000000001
2019-02-21;0.06026666666666666;0.3500000000000004;0.1600000000000001
2019-02-22;0.06000000000000002;0.3500000000000004;0.1600000000000001
2019-02-23;0.060000000000000046;0.34999999999999976;0.16065217391304354
2019-02-24;0.06466666666666669;0.3500000000000004;0.1664
2019-02-25;0.07000000000000002;0.3500000000000004;0.16999999999999996
2019-02-26;0.07459459459459461;0.3500000000000004;0.16999999999999996
2019-02-27;0.07973333333333339;0.3500000000000004;0.16999999999999996
2019-02-28;0.08;0.35000000000000003;0.16999999999999998
2019-03-01;;;
2019-03-02;;;
2019-03-03;;;
2019-03-04;;;
2019-03-05;;;
2019-03-06;;;
2019-03-07;0.06000000000000002;0.35;0.16999999999999996
2019-03-08;0.06000000000000004;0.3499999999999998;0.16999999999999996
2019-03-09;0.060000000000000005;0.3500000000000004;0.17039999999999994
2019-03-10;0.060000000000000005;0.3500000000000004;0.17853333333333316
2019-03-11;0.060133333333333344;0.3500000000000004;0.17999999999999983
2019-03-12;0.060000000000000005;0.3500000000000004;0.18079999999999982
2019-03-13;0.06;0.3500000000000004;0.18759999999999985
2019-03-14;0.06013513513513514;0.3500000000000004;0.1899999999999999
2019-03-15;0.06013333333333333;0.3500000000000004;0.18999999999999986
2019-03-16;0.06016666666666671;0.3500000000000002;0.18999999999999997
2019-03-17;0.06173333333333334;0.3500000000000004;0.1899999999999999
2019-03-18;0.06364864864864864;0.3500000000000004;0.18999999999999986
2019-03-19;0.06472727272727273;0.35000000000000003;0.19000000000000003
2019-03-20;0.06824324324324327;0.3500000000000004;0.19039999999999987
2019-03-21;0.0688;0.3500000000000004;0.19439999999999982
2019-03-22;0.06965517241379306;0.35000000000000014;0.1993333333333332
2019-03-23;0.06986666666666669;0.3500000000000004;0.1999999999999997
2019-03-24;0.07000000000000002;0.3500000000000004;0.1999999999999997
2019-03-25;0.07000000000000002;0.3500000000000004;0.1999999999999997
2019-03-26;0.07000000000000002;0.3500000000000004;0.2022666666666667
2019-03-27;0.07000000000000002;0.3500000000000004;0.20906666666666707
2019-03-28;0.07000000000000002;0.3500000000000004;0.2100000000000004
2019-03-29;0.07000000000000002;0.3500000000000004;0.2100000000000004
2019-03-30;0.07000000000000002;0.3500000000000004;0.2100000000000004
2019-03-31;0.07000000000000002;0.3500000000000004;0.2100000000000004
2019-04-01;0.07000000000000002;0.3500000000000004;0.2100000000000004
2019-04-02;0.06999999999999998;0.35000000000000026;0.21000000000000033
2019-04-03;0.07026666666666669;0.3500000000000004;0.2100000000000004
2019-04-04;0.07164383561643838;0.3500000000000004;0.2100000000000004
2019-04-05;0.07275000000000001;0.34999999999999976;0.2109756097560976
2019-04-06;0.0702702702702703;0.3500000000000004;0.21400000000000033
2019-04-07;0.07014285714285715;0.35000000000000037;0.21400000000000036
2019-04-08;0.06999999999999997;0.34999999999999976;0.2106666666666668
2019-04-09;0.07000000000000002;0.3500000000000004;0.21039473684210566
2019-04-10;0.07000000000000002;0.3500000000000004;0.21013333333333373
2019-04-11;0.06999999999999999;0.3500000000000003;0.21000000000000035
2019-04-12;0.06999999999999997;0.3500000000000002;0.2100000000000003
